,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
38,1122342,ALLIANCE FIBER OPTIC PRODUCTS INC,79266,Nasdaq Capital Market,AFOP,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1122342&start=0&type=SD,,,,2016-04-30
39,1344980,"ALLIANCE HOLDINGS GP, L.P.",691539,Nasdaq Global Market,AHGP,1221,Bituminous Coal and Lignite Surface Mining,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1344980&start=0&type=SD,,,,2016-04-30
40,1579241,ALLEGION PLC,908913,NYSE,ALLE,7381,"Detective, Guard, and Armored Car Services",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1579241&start=0&type=SD,,,,2016-04-30
41,1365767,ALLOT COMMUNICATIONS LTD.,724863,Nasdaq Global Market,ALLT,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1365767&start=0&type=SD,,,,2016-04-30
42,1411207,ALLISON TRANSMISSION HOLDINGS INC,755761,NYSE,ALSN,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1411207&start=0&type=SD,,,,2016-04-30
43,46129,ALLIED MOTION TECHNOLOGIES INC,6560,Nasdaq Global Market,AMOT,3825,Instruments for Measuring and Testing of Electricity and Electri,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=46129&start=0&type=SD,,,,2016-04-30
44,1387467,ALPHA & OMEGA SEMICONDUCTOR LTD,732422,Nasdaq Global Market,AOSL,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1387467&start=0&type=SD,,,,2016-04-30
45,1086600,ALLIANCE RESOURCE PARTNERS LP,9984,Nasdaq Global Market,ARLP,1221,Bituminous Coal and Lignite Surface Mining,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1086600&start=0&type=SD,,,,2016-04-30
46,1350653,"ALPHATEC HOLDINGS, INC.",698514,Nasdaq Global Market,ATEC,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1350653&start=0&type=SD,,,,2016-04-30
47,919012,AMERICAN EAGLE OUTFITTERS INC,1498,NYSE,AEO,5651,Family Clothing Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=919012&start=0&type=SD,,,,2016-04-30
