id,req_company_name,req_cik,req_url,ret_cik,ret_company_name,ret_description,ret_filing_date,ret_sec_accession_number,ret_title,ret_url
68,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000149315215002288/0001493152-15-002288-index.htm,880984,"ACORN ENERGY, INC.",form-sd.htm,2015-05-28 16:19:01,0001493152-15-002288,,https://www.sec.gov/Archives/edgar/data/880984/000149315215002288/form-sd.htm
69,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000149315215002288/0001493152-15-002288-index.htm,880984,"ACORN ENERGY, INC.",ex1-01.htm,2015-05-28 16:19:01,0001493152-15-002288,,https://www.sec.gov/Archives/edgar/data/880984/000149315215002288/ex1-01.htm
70,"ACORN ENERGY, INC.",880984,http://www.sec.gov/Archives/edgar/data/880984/000149315215002288/0001493152-15-002288-index.htm,880984,"ACORN ENERGY, INC.",0001493152-15-002288.txt,2015-05-28 16:19:01,0001493152-15-002288,Complete submission text file,https://www.sec.gov/Archives/edgar/data/880984/000149315215002288/0001493152-15-002288.txt
71,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/0001140361-14-024146-index.htm,1044435,ACTIVE POWER INC,formsd.htm,2014-06-02 17:06:32,0001140361-14-024146,"ACTIVE POWER, INC SD 12-31-2013",https://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/formsd.htm
72,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/0001140361-14-024146-index.htm,1044435,ACTIVE POWER INC,ex1_02.htm,2014-06-02 17:06:32,0001140361-14-024146,EXHIBIT 1.02,https://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/ex1_02.htm
73,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/0001140361-14-024146-index.htm,1044435,ACTIVE POWER INC,0001140361-14-024146.txt,2014-06-02 17:06:32,0001140361-14-024146,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1044435/000114036114024146/0001140361-14-024146.txt
74,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/0001044435-15-000023-index.htm,1044435,ACTIVE POWER INC,acpw2014formsd.htm,2015-05-29 15:22:29,0001044435-15-000023,SD,https://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/acpw2014formsd.htm
75,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/0001044435-15-000023-index.htm,1044435,ACTIVE POWER INC,acpw2014formsdexhibit101.htm,2015-05-29 15:22:29,0001044435-15-000023,EXHIBIT 1.01,https://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/acpw2014formsdexhibit101.htm
76,ACTIVE POWER INC,1044435,http://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/0001044435-15-000023-index.htm,1044435,ACTIVE POWER INC,0001044435-15-000023.txt,2015-05-29 15:22:29,0001044435-15-000023,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1044435/000104443515000023/0001044435-15-000023.txt
77,ACCURIDE CORP,817979,http://www.sec.gov/Archives/edgar/data/817979/000114036114023785/0001140361-14-023785-index.htm,817979,ACCURIDE CORP,acwsd140528.htm,2014-05-30 16:32:58,0001140361-14-023785,ACCURIDE CORPORATION SD 12-31-2013,https://www.sec.gov/Archives/edgar/data/817979/000114036114023785/acwsd140528.htm
78,ACCURIDE CORP,817979,http://www.sec.gov/Archives/edgar/data/817979/000114036114023785/0001140361-14-023785-index.htm,817979,ACCURIDE CORP,0001140361-14-023785.txt,2014-05-30 16:32:58,0001140361-14-023785,Complete submission text file,https://www.sec.gov/Archives/edgar/data/817979/000114036114023785/0001140361-14-023785.txt
79,ACCURIDE CORP,817979,http://www.sec.gov/Archives/edgar/data/817979/000081797915000029/0000817979-15-000029-index.htm,817979,ACCURIDE CORP,acwsd150601.htm,2015-06-01 10:21:37,0000817979-15-000029,FORM SD,https://www.sec.gov/Archives/edgar/data/817979/000081797915000029/acwsd150601.htm
80,ACCURIDE CORP,817979,http://www.sec.gov/Archives/edgar/data/817979/000081797915000029/0000817979-15-000029-index.htm,817979,ACCURIDE CORP,ex-101sd150601.htm,2015-06-01 10:21:37,0000817979-15-000029,EXHIBIT 1.01,https://www.sec.gov/Archives/edgar/data/817979/000081797915000029/ex-101sd150601.htm
81,ACCURIDE CORP,817979,http://www.sec.gov/Archives/edgar/data/817979/000081797915000029/0000817979-15-000029-index.htm,817979,ACCURIDE CORP,0000817979-15-000029.txt,2015-06-01 10:21:37,0000817979-15-000029,Complete submission text file,https://www.sec.gov/Archives/edgar/data/817979/000081797915000029/0000817979-15-000029.txt
82,ABERCROMBIE & FITCH CO /DE/,1018840,http://www.sec.gov/Archives/edgar/data/1018840/000101884014000037/0001018840-14-000037-index.htm,1018840,ABERCROMBIE & FITCH CO /DE/,formsd.htm,2014-05-29 09:39:34,0001018840-14-000037,SD,https://www.sec.gov/Archives/edgar/data/1018840/000101884014000037/formsd.htm
83,ABERCROMBIE & FITCH CO /DE/,1018840,http://www.sec.gov/Archives/edgar/data/1018840/000101884014000037/0001018840-14-000037-index.htm,1018840,ABERCROMBIE & FITCH CO /DE/,0001018840-14-000037.txt,2014-05-29 09:39:34,0001018840-14-000037,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1018840/000101884014000037/0001018840-14-000037.txt
