,link,size,filing_date,year,cik
840,https://www.sec.gov/Archives/edgar/data/1175609/000119312518177477/0001193125-18-177477-index.htm,186 KB,2018-05-30,2018,0001175609
846,https://www.sec.gov/Archives/edgar/data/1035267/000103526718000070/0001035267-18-000070-index.htm,371 KB,2018-05-31,2018,0001035267
852,https://www.sec.gov/Archives/edgar/data/1262039/000119312518180261/0001193125-18-180261-index.htm,51 KB,2018-05-31,2018,0001262039
858,https://www.sec.gov/Archives/edgar/data/1498301/000149830118000026/0001498301-18-000026-index.htm,91 KB,2018-05-30,2018,0001498301
864,https://www.sec.gov/Archives/edgar/data/1086434/000114420418028587/0001144204-18-028587-index.htm,364 KB,2018-05-15,2018,0001086434
870,https://www.sec.gov/Archives/edgar/data/1345126/000134512618000043/0001345126-18-000043-index.htm,437 KB,2018-05-31,2018,0001345126
876,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000056/0001326380-18-000056-index.htm,69 KB,2018-05-30,2018,0001326380
887,https://www.sec.gov/Archives/edgar/data/6176/000119312518160246/0001193125-18-160246-index.htm,56 KB,2018-05-11,2018,0000006176
893,https://www.sec.gov/Archives/edgar/data/854775/000110465918033456/0001104659-18-033456-index.htm,523 KB,2018-05-15,2018,0000854775
902,https://www.sec.gov/Archives/edgar/data/1567094/000119312518179663/0001193125-18-179663-index.htm,120 KB,2018-05-31,2018,0001567094
908,https://www.sec.gov/Archives/edgar/data/1123134/000119312518172710/0001193125-18-172710-index.htm,17 KB,2018-05-24,2018,0001123134
911,https://www.sec.gov/Archives/edgar/data/858877/000119312518176865/0001193125-18-176865-index.htm,206 KB,2018-05-29,2018,0000858877
917,https://www.sec.gov/Archives/edgar/data/1047127/000104712718000023/0001047127-18-000023-index.htm,336 KB,2018-05-17,2018,0001047127
922,https://www.sec.gov/Archives/edgar/data/880432/000161577418004517/0001615774-18-004517-index.htm,27 KB,2018-05-30,2018,0000880432
928,https://www.sec.gov/Archives/edgar/data/110471/000011047118000024/0000110471-18-000024-index.htm,71 KB,2018-05-30,2018,0000110471
934,https://www.sec.gov/Archives/edgar/data/2488/000000248818000094/0000002488-18-000094-index.htm,348 KB,2018-05-25,2018,0000002488
940,https://www.sec.gov/Archives/edgar/data/1302028/000119312518180319/0001193125-18-180319-index.htm,231 KB,2018-05-31,2018,0001302028
945,https://www.sec.gov/Archives/edgar/data/104897/000149315218007699/0001493152-18-007699-index.htm,40 KB,2018-05-23,2018,0000104897
951,https://www.sec.gov/Archives/edgar/data/91440/000009144018000005/0000091440-18-000005-index.htm,84 KB,2018-05-31,2018,0000091440
957,https://www.sec.gov/Archives/edgar/data/898293/000119312518178598/0001193125-18-178598-index.htm,85 KB,2018-05-30,2018,0000898293
962,https://www.sec.gov/Archives/edgar/data/1487730/000090883418000097/0000908834-18-000097-index.htm,461 KB,2018-05-31,2018,0001487730
974,https://www.sec.gov/Archives/edgar/data/1262823/000119312518170781/0001193125-18-170781-index.htm,13 KB,2018-05-22,2018,0001262823
980,https://www.sec.gov/Archives/edgar/data/855658/000085565818000082/0000855658-18-000082-index.htm,504 KB,2018-05-31,2018,0000855658
986,https://www.sec.gov/Archives/edgar/data/818686/000119312518179931/0001193125-18-179931-index.htm,38 KB,2018-05-31,2018,0000818686
995,https://www.sec.gov/Archives/edgar/data/810136/000114036118026283/0001140361-18-026283-index.htm,17 KB,2018-05-30,2018,0000810136
997,https://www.sec.gov/Archives/edgar/data/1219601/000119312518180175/0001193125-18-180175-index.htm,33 KB,2018-05-31,2018,0001219601
1004,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000030/0001413329-18-000030-index.htm,366 KB,2018-05-25,2018,0001413329
1010,https://www.sec.gov/Archives/edgar/data/1524472/000152447218000024/0001524472-18-000024-index.htm,295 KB,2018-05-30,2018,0001524472
1016,https://www.sec.gov/Archives/edgar/data/98752/000155837018005085/0001558370-18-005085-index.htm,25 KB,2018-06-01,2018,0000098752
1022,https://www.sec.gov/Archives/edgar/data/50863/000119312518166067/0001193125-18-166067-index.htm,225 KB,2018-05-17,2018,0000050863
1031,https://www.sec.gov/Archives/edgar/data/791915/000079191518000022/0000791915-18-000022-index.htm,718 KB,2018-05-25,2018,0000791915
1037,https://www.sec.gov/Archives/edgar/data/808439/000117891318001815/0001178913-18-001815-index.htm,111 KB,2018-05-31,2018,0000808439
1046,https://www.sec.gov/Archives/edgar/data/31462/000155837018004977/0001558370-18-004977-index.htm,559 KB,2018-05-25,2018,0000031462
1052,https://www.sec.gov/Archives/edgar/data/4281/000114420418031618/0001144204-18-031618-index.htm,119 KB,2018-05-30,2018,0000004281
1057,https://www.sec.gov/Archives/edgar/data/1487371/000148737118000135/0001487371-18-000135-index.htm,50 KB,2018-05-31,2018,0001487371
1063,https://www.sec.gov/Archives/edgar/data/353569/000035356918000044/0000353569-18-000044-index.htm,313 KB,2018-05-31,2018,0000353569
1069,https://www.sec.gov/Archives/edgar/data/28823/000002882318000119/0000028823-18-000119-index.htm,501 KB,2018-05-31,2018,0000028823
1075,https://www.sec.gov/Archives/edgar/data/820313/000110465918036910/0001104659-18-036910-index.htm,443 KB,2018-05-31,2018,0000820313
1081,https://www.sec.gov/Archives/edgar/data/1447599/000162828018007367/0001628280-18-007367-index.htm,71 KB,2018-05-30,2018,0001447599
1083,https://www.sec.gov/Archives/edgar/data/1067983/000119312518179974/0001193125-18-179974-index.htm,29 KB,2018-05-31,2018,0001067983
1089,https://www.sec.gov/Archives/edgar/data/732712/000119312518179774/0001193125-18-179774-index.htm,155 KB,2018-05-31,2018,0000732712
1093,https://www.sec.gov/Archives/edgar/data/1170534/000119312518177468/0001193125-18-177468-index.htm,36 KB,2018-05-30,2018,0001170534
1099,https://www.sec.gov/Archives/edgar/data/1533526/000153352618000055/0001533526-18-000055-index.htm,63 KB,2018-05-31,2018,0001533526
1103,https://www.sec.gov/Archives/edgar/data/885245/000088524518000015/0000885245-18-000015-index.htm,25 KB,2018-05-29,2018,0000885245
1109,https://www.sec.gov/Archives/edgar/data/1084991/000108499118000039/0001084991-18-000039-index.htm,672 KB,2018-05-29,2018,0001084991
